Crashid,Municipality,Road,Miles,Dir,FromRoad,ToRoad,Date,Time,Crash  Tye,Severity,
103982472,Cary,EDGEMONT AVE,0.1,E,MEADOWVALE CIR,NC 55,1/1/2014,12:47 PM,"Rear end, slow or stop",Property Damage Only,
103982471,Cary,SE MAYNARD RD,0,,WALNUT ST,VARY TOWNE BLVD,1/1/2014,6:53 PM,"Rear end, slow or stop",Property Damage Only,
103982478,Cary,JAMES JACKSON AVE,0.021,E,TRAINAGLELE TRADE DR,MAYNARD RD,1/2/2014,6:53 AM,Ran off road - left,C-Injury (Possible),
103967529,Cary,MAYNARD,0.088,NW,CHATHAM,OLD APEX,1/2/2014,11:24 AM,Other non-collision,Fatal (Killed),
103982481,Cary,WALNUT ST,0,,DONALDSON DR,BUCK JONES RD,1/2/2014,6:34 PM,Angle,Property Damage Only,
103982474,Cary,E DURHAM RD,0.04,NE,WARD ST,E CHATHAM ST,1/2/2014,4:24 PM,"Right turn, different roadways",Property Damage Only,
103982475,Cary,SERENE FOREST DR,0.022,NE,MONETA LANE,GLADE HILL DR,1/2/2014,4:21 PM,Fixed object,Property Damage Only,
103982476,Cary,OLD APEX RD,0,,FALCONE PKWY,MURPHY DR,1/2/2014,6:25 PM,"Rear end, slow or stop",Property Damage Only,
103982477,Cary,I 40,0.006,W,N HARRISON AVE,SAS CAMPUS DR,1/2/2014,12:21 PM,"Rear end, slow or stop",Property Damage Only,
103982524,Cary,WALDO ROOD BLVD,0,,CHESTONE CT,ACCOLADE DR,1/3/2014,4:54 PM,Angle,C-Injury (Possible),
103943182,Cary,SR 1009,0.1,E,SR 1319,SR 1381,1/3/2014,6:18 PM,Fixed object,Property Damage Only,
103982540,Cary,TRYON RD,0,,CRESCENT GREEN,ASHVILLE AVE,1/3/2014,5:10 PM,"Left turn, different roadways",Property Damage Only,
103982577,Cary,MAYNARD RD,0.568,S,VILLAGE GREENWAY,CARY TOWNE,1/3/2014,8:58 AM,"Rear end, slow or stop",Property Damage Only,
103989189,Cary,WALNUT ST,0,,MEETING ST,DILLARD DR,1/3/2014,10:19 AM,Angle,Property Damage Only,
103982480,Cary,WALNUT ST,0.001,N,TRYON RD,HOLLY SPRINGS RD,1/3/2014,9:18 PM,"Rear end, slow or stop",Property Damage Only,
103982528,Cary,NC 55,0,N,CARPENTER FIRE STATION,INDIAN WELL RD,1/3/2014,4:55 PM,"Rear end, slow or stop",Property Damage Only,
103982518,Cary,OLD APEX RD,0.014,NW,CARY PKWY,MARILYN CIR,1/3/2014,5:34 PM,"Rear end, slow or stop",Property Damage Only,
103982551,Cary,CHAPELL HILL RD (3081),0,W,NW MAYANRD RD (NC54),PORTRAIT DR,1/3/2014,4:28 PM,"Left turn, different roadways",Property Damage Only,
103982529,Cary,TRYON RD,0.2,NE,FORSTWOOD DR,SE CARY PKWY,1/3/2014,6:00 PM,"Rear end, slow or stop",Property Damage Only,
103982571,Cary,SE CARY PKWY,0,,LOCHSIDE DR,TRYON RD,1/3/2014,12:28 PM,"Left turn, different roadways",Property Damage Only,
103982574,Cary,ACADEMY ST,0,N,KILDAIRE FARM RD,PARK ST,1/3/2014,5:26 PM,Ran off road - right,Unknown,
103985691,Cary,SE MAYNARD RD,0,,E CHATHAM ST,N LAKE ST,1/4/2014,7:55 PM,"Left turn, same roadway",C-Injury (Possible),
103985336,Cary,SR 1415,0,,CHATHAM ST,,1/4/2014,10:02 AM,Angle,C-Injury (Possible),
103969313,Cary,US 1,0.076,NE,CARY PKWY,US 1,1/4/2014,10:51 AM,"Sideswipe, same direction",Property Damage Only,
103985671,Cary,US 1,0.09,E,BUCK JONES RD,SR 1313,1/4/2014,6:33 PM,Movable object,Property Damage Only,
103985334,Cary,SR 1315,0.18,W,NOTTINGHAM DR,SR 1313,1/4/2014,1:25 PM,Angle,Property Damage Only,
103985331,Cary,SR 1011,0,,TRAVIS PARK DR,SR 1655,1/4/2014,11:54 AM,Animal,Property Damage Only,
103985338,Cary,5 CARRIC BEND CT,0,,5 BILLINGRATH TRUN LN,5 END,1/4/2014,8:04 PM,"Rear end, slow or stop",Property Damage Only,
103985329,Cary,COLONADES WAY,0.064,W,NEW WAVERLY PLC,ADVENT CT,1/4/2014,11:27 AM,Backing up,Property Damage Only,
103985326,Cary,GREEN LVL CHURCH RD,0.056,N,MILLS RD,ASHLEY ROSE DR,1/4/2014,12:23 AM,Animal,Property Damage Only,
103985333,Cary,1105 WALNUT ST,0.076,NE,WALNUT ST,HUBBARD LN,1/4/2014,7:14 PM,Backing up,Property Damage Only,
103985337,Cary,SR 3081,0.008,E,SR 1415,TRINIYT RD,1/4/2014,8:05 PM,Backing up,Property Damage Only,
103985690,Cary,BUCK JONES RD,0.055,W,NOTTINGHAM DR,WALNUT ST,1/4/2014,3:34 PM,"Sideswipe, same direction",Property Damage Only,
103985689,Cary,EVANS RD,0,,NW CARY PKWY,WINFAIR DR,1/4/2014,1:12 PM,Angle,Property Damage Only,
103985342,Cary,DAVIS DR,0,,MORRISVILLE PKWY,,1/4/2014,5:50 PM,"Left turn, different roadways",Property Damage Only,
103985335,Cary,HIGH HOUSE RD,0.057,W,SUMMER LAKES DR,,1/4/2014,1:29 PM,"Sideswipe, same direction",Property Damage Only,
103985694,Cary,NC 55,0.047,S,KIT CRK RD,ALSTON VILLAGE LN,1/5/2014,6:18 PM,Animal,B-Injury (Evident),
103985697,Cary,HIGH HOUSE RD,0.21,SE,LEGAULT DR,ARLINGTON RIDGE RD,1/5/2014,7:23 PM,"Rear end, slow or stop",Property Damage Only,
103985693,Cary,SR 1415,0.038,N,SR 3081,REEDY CREEK RD,1/5/2014,11:20 AM,Animal,Property Damage Only,
103986699,Cary,SE MAYNARD RD,0,,TATE ST,VILLAGE GREENWAY,1/5/2014,5:48 PM,Angle,Property Damage Only,
103985705,Cary,SR 1435,0,,AUTO PARK BVD,AUTO PARK BVD,1/6/2014,6:26 PM,Angle,C-Injury (Possible),
103985698,Cary,CHAPEL HILL RD,0,,FAIRBANKS RD,BALAJI PL,1/6/2014,7:20 PM,"Rear end, slow or stop",Property Damage Only,
103985719,Cary,SR 1415,0,,LAKE PINE DR,GRIFFIS ST,1/6/2014,7:17 AM,"Rear end, slow or stop",Property Damage Only,
103985718,Cary,MCCRIMMON PKWY,0.1,W,NC 55,HIGHCROFT DR,1/6/2014,7:44 AM,"Rear end, slow or stop",Property Damage Only,
103985702,Cary,OLD APEX RD,0.014,E,HIGH HOUSE RD,HOWLAND AVE,1/6/2014,11:22 AM,Angle,Property Damage Only,
103985704,Cary,SR 1313,0.057,S,SE MAYNARD RD,IVY LN,1/6/2014,9:46 AM,Angle,Property Damage Only,
103985701,Cary,WALNUT ST (SR1313),0,,DILLARD DR,MEETING ST,1/6/2014,4:29 PM,"Right turn, same roadway",Property Damage Only,
103985703,Cary,BUCK JONES RD,0.15,NE,WALNUT ST,NOTTINGHAM DR,1/6/2014,3:43 PM,Head on,Property Damage Only,
103985706,Cary,TRYON RD,0.038,E,SR 1313,TRYON VILLAGE DR,1/6/2014,8:55 AM,"Rear end, slow or stop",Property Damage Only,
103985695,Cary,HOLLY SPRINGS RD,0,,TRYON RD,TRYON VILLAGE DR,1/6/2014,11:21 AM,Other non-collision,Property Damage Only,
103985721,Cary,MIDDLE CREEK PARK AVE,0.076,,JAMISON PARK DR,WEST LAKE RD,1/6/2014,12:00 PM,"Right turn, different roadways",Property Damage Only,
103985699,Cary,1207 KILDAIRE FARM RD,0.038,S,FARMINGTON WOODS DR,HIGH MEADOW DR,1/6/2014,1:15 PM,Backing up,Unknown,
103985723,Cary,NC 55,0,,OKELLY CHAPEL RD,ALSTON VILLAGE LN,1/7/2014,10:07 AM,"Left turn, same roadway",B-Injury (Evident),
103985727,Cary,SE MAYNARD RD,0.009,S,E CHATHAM ST,REED ST,1/7/2014,2:19 PM,"Sideswipe, same direction",C-Injury (Possible),
103985725,Cary,US 64,0.021,SE,EDINBURGH DR,US 1,1/7/2014,6:00 PM,"Rear end, slow or stop",Property Damage Only,
103985724,Cary,WALNUT ST/US 1 RAMP,0.024,SW,WALNUT ST,US 1,1/7/2014,3:17 PM,"Rear end, slow or stop",Property Damage Only,
103985720,Cary,WALNUT ST,0.2,N,MACEDONIA RD,DILLARD RD,1/7/2014,2:49 PM,"Left turn, different roadways",Property Damage Only,
103985726,Cary,RENNASAINCE PK PL,0.009,S,WESTON PKWY,MONTIBELLO DR,1/7/2014,1:23 PM,Parked motor vehicle,Property Damage Only,
103962293,Cary,REGENCY PKWY,1,S,TRYON RD,REGENCY FOREST DR,1/7/2014,1:22 AM,Animal,Property Damage Only,
103985722,Cary,SR 1624,0,,SR 1613,VALLEYSTONE DR,1/7/2014,4:51 PM,Angle,Property Damage Only,
103962300,Cary,CARY TOWNE BLVD,0.44,NE,PRINCIPAL LN,I 40,1/8/2014,10:49 PM,Ran off road - left,C-Injury (Possible),
103985728,Cary,HARRISON AVE,10,S,HILLSBORO ST,CHATHAM ST,1/8/2014,7:00 AM,"Left turn, same roadway",C-Injury (Possible),
103962296,Cary,CHAPEL HILL RD,0.085,W,SPRUCE ST,HICKORY ST,1/8/2014,1:21 AM,Ran off road - left,C-Injury (Possible),
103965836,Cary,SR 1300,0.028,S,SR 1415,KILMAYNE DR,1/8/2014,11:55 AM,"Rear end, slow or stop",C-Injury (Possible),
103985730,Cary,US 1,0.057,SW,WALNUT ST,CARY PKWY,1/8/2014,7:55 PM,"Rear end, slow or stop",Property Damage Only,
103962313,Cary,JAMES JACKSON AVE,15,N,TOWER VIEW CT,DARRINGTON DR,1/8/2014,7:05 PM,Pedalcyclist,Property Damage Only,
103985732,Cary,HINMAN LN,0.009,N,MONETA LN,MAPLECHASE LN,1/8/2014,12:49 PM,"Sideswipe, same direction",Property Damage Only,
103985748,Cary,NC 55,0.1,N,I 540,OKELLEY CHAPEL RD,1/8/2014,4:27 PM,"Sideswipe, same direction",Property Damage Only,
103962312,Cary,SR 1497,0.038,E,SR 1415,PRINCIPAL LN,1/8/2014,8:41 AM,"Sideswipe, same direction",Property Damage Only,
103985729,Cary,SR 1300,0.085,S,HIGH MEADOW DR,SHANNON OAKS CIR,1/8/2014,6:16 PM,"Left turn, same roadway",Property Damage Only,
103985731,Cary,ALSTON AE,0.1,N,OKELLY CHAPEL RD,STONEWATER GLEN LN,1/8/2014,9:01 AM,"Right turn, different roadways",Property Damage Only,
103985740,Cary,MCCRIMMON PKWY,0.005,W,NC 55,I 540,1/9/2014,6:07 PM,"Rear end, slow or stop",Property Damage Only,
103962303,Cary,NC 55,0.25,S,OKELLY CHAPEL RD,I 540,1/9/2014,6:14 PM,"Rear end, slow or stop",Property Damage Only,
103985734,Cary,US 1,0.2,SW,I 40,SR 1313,1/9/2014,6:36 PM,"Rear end, slow or stop",Property Damage Only,
103985742,Cary,VICKIE DR,0.006,S,DOLAN DR,BRUNSON CT,1/9/2014,10:40 AM,Other non-collision,Property Damage Only,
103985739,Cary,US 64,4,S,MACKENNAN DR,GREGSON DR,1/9/2014,7:06 AM,"Rear end, slow or stop",Property Damage Only,
103985741,Cary,LOCH HIGHLANDS DR,0.004,S,KILDAIRE FARM RD,HIGLAND LAKE DR,1/9/2014,7:00 AM,"Rear end, slow or stop",Property Damage Only,
103985746,Cary,EVANS RD,0.004,N,WESTON PKWY,JOHN DEER RUN,1/9/2014,8:59 AM,"Rear end, slow or stop",Property Damage Only,
103985738,Cary,BUCK JONES,0.15,N,WALNUT ST,NOTTINGHAM DR,1/9/2014,6:27 PM,Angle,Property Damage Only,
103985737,Cary,LAKE PINE DR,0.015,S,SW CARY PKWY,VICTOR HUGO DR,1/9/2014,4:19 PM,"Left turn, different roadways",Property Damage Only,
103985747,Cary,OLD APEX RD,0,,1616 HIGH HOUSE RD,WETHERSFIELD DR,1/9/2014,11:37 AM,"Rear end, slow or stop",Property Damage Only,
103985745,Cary,US 64,0.3,E,AUTO PARK DR,GREGSON DR,1/10/2014,11:52 AM,"Rear end, slow or stop",C-Injury (Possible),
103985744,Cary,NC 55,0,,KIT CREEK RD,ALSTON VILLAGE WAY,1/10/2014,12:33 AM,Animal,Property Damage Only,
103985755,Cary,NW CARY PKWY,0,,PRESTON OAKS LN,CRABTREE CROSSING PKWY,1/10/2014,6:22 PM,Angle,Property Damage Only,
103985751,Cary,GREGSON DR,0,,US 64,QUEENSFERRY RD,1/10/2014,1:28 PM,"Rear end, slow or stop",Property Damage Only,
103985754,Cary,N HARRISON AV,0,N,WESTON PKWY,SAS CAMPUS DR,1/10/2014,2:51 PM,"Sideswipe, same direction",Property Damage Only,
103985753,Cary,HIGH HOUSE RD,0.002,E,NC 55,SIR WALKER LN,1/10/2014,1:03 PM,"Rear end, slow or stop",Property Damage Only,
103985749,Cary,US 64,0.047,E,EDINBURGH DR S,TRYON RD,1/10/2014,3:41 PM,"Rear end, slow or stop",Property Damage Only,
103985761,Cary,US 1,1.5,NE,TEN TEN RD,TRYON RD,1/10/2014,9:50 PM,Ran off road - left,Property Damage Only,
103985756,Cary,KILDAIRE FARM RD,0.066,N,HIGH MEADOW RD,TWIN ACRES,1/10/2014,9:42 AM,"Left turn, different roadways",Property Damage Only,
103985752,Cary,SW CARY PKY,0.006,S,OLD APEX RD,WOODWINDS,1/10/2014,8:13 AM,Fixed object,Property Damage Only,
103989180,Cary,HIGH HOUSE RD,0.25,W,CRANBORNE LN,NC 55,1/11/2014,2:14 PM,"Rear end, slow or stop",Property Damage Only,
103989287,Cary,AIRPORT BLVD,0,,LAKE GROVE BLVD,GARDEN SQUARE LN,1/11/2014,3:20 PM,Angle,Property Damage Only,
103989178,Cary,WALNUT ST,0.057,SE,US 1,PINEY PLAINS,1/11/2014,7:32 PM,"Rear end, slow or stop",Property Damage Only,
103989294,Cary,KILDAIRE FARM RD,0.25,,TWIN OAKS PL,HIGH MEADOW DR,1/12/2014,9:44 AM,"Rear end, slow or stop",C-Injury (Possible),
103989179,Cary,US 1,0.009,E,BUCK JONES RD,US 1,1/12/2014,3:19 AM,Ran off road - left,Property Damage Only,
103990649,Cary,STAR THISTLE LANE,0.008,S,W JOHNSON ST,NC 54,1/12/2014,4:08 PM,Backing up,Property Damage Only,
103989293,Cary,CARPENTER FIRE STA RD,0.016,W,NC 55,HOWARD RD,1/12/2014,11:07 AM,"Rear end, slow or stop",Property Damage Only,
103989289,Cary,WALNUT ST,0.25,N,DILLARD DR,MEETING ST,1/12/2014,12:40 PM,"Sideswipe, same direction",Property Damage Only,
103989181,Cary,SR 1415,0.047,NW,CHAPEL HILL RD,REEDY CREEK RD,1/12/2014,12:53 AM,Ran off road - right,Property Damage Only,
103989295,Cary,BRIDGEGATE DR,0.005,SE,BRIDGEGATE,DEAD END,1/12/2014,9:00 PM,Parked motor vehicle,Unknown,
103989839,Cary,DAVIS DR,0,,DAVIS GROVE CIR,SHERWOOD FOREST PL,1/13/2014,4:15 PM,"Sideswipe, same direction",B-Injury (Evident),
103989318,Cary,US 1,0.019,N,CROSSROADS BLVD,I 40,1/13/2014,7:35 AM,"Rear end, slow or stop",C-Injury (Possible),
103989298,Cary,E CHATHAM ST #1011,0,,NE MAYNARD RD #1415,N LAKE ST,1/13/2014,6:46 PM,"Left turn, same roadway",C-Injury (Possible),
103989292,Cary,WALNUT ST,2,W,PINEY PLAINS RD,US 1,1/13/2014,11:38 PM,"Rear end, slow or stop",Property Damage Only,
103989296,Cary,US 1,0.038,E,CROSSROADS BLVD,I 40,1/13/2014,8:05 AM,"Rear end, slow or stop",Property Damage Only,
103950433,Cary,SR 1152,0,,SR 1010,SR 1580,1/13/2014,9:32 AM,"Sideswipe, same direction",Property Damage Only,
103990651,Cary,US 1,0,,US 64,EDINBURGH DR,1/13/2014,8:46 AM,"Rear end, slow or stop",Property Damage Only,
103990671,Cary,GREGSON DR,0,,US 64,EDINBURGH SOUTH DR,1/13/2014,7:40 AM,Angle,Property Damage Only,
103990647,Cary,OLD RALEIGH RD,0,,AUTO PARK BLVD,MACKENAN DR,1/13/2014,10:58 AM,Angle,Property Damage Only,
103989323,Cary,NE MAYNARD RD,0,,54 CHAPEL HILL RD,REEDY CREEK,1/13/2014,12:30 PM,"Sideswipe, same direction",Property Damage Only,
103989183,Cary,KIESLER DR,0.057,W,KILDAIRE FARM RD,TRYON RD,1/13/2014,1:30 PM,Parked motor vehicle,Unknown,
103989326,Cary,US 1,2,N,WALNUT ST,I 40,1/14/2014,9:26 AM,"Rear end, slow or stop",C-Injury (Possible),
103989328,Cary,SR 1650,0.019,S,INDIGO DR,NC 54,1/14/2014,1:02 PM,"Rear end, slow or stop",Property Damage Only,
103992893,Cary,SR 1435,0.005,SE,TEAM HENDRICK WAY,AUTO PARK BLVD,1/14/2014,10:52 AM,Backing up,Property Damage Only,
103992892,Cary,ECLIPSE DR,0.002,W,RIBBON LN,FOLIAGE CIR,1/14/2014,4:10 PM,Head on,Property Damage Only,
103989840,Cary,MCCRIMMON PKWY,0.2,E,I 540,HIGHCROFT DR,1/14/2014,7:01 AM,"Rear end, slow or stop",Property Damage Only,
103990673,Cary,NC 54,0,,TRINITY RD,HOTEL DR,1/14/2014,1:08 PM,Angle,Property Damage Only,
103990675,Cary,SR 1652,0.019,S,NW CARY PKWY,LIVINGSTONE DR,1/14/2014,7:46 PM,"Sideswipe, same direction",Property Damage Only,
103989324,Cary,OLD APEX RD,0.057,W,LAURA DUNCAN RD,SW CARY PKWY,1/14/2014,5:57 PM,"Rear end, slow or stop",Property Damage Only,
103992889,Cary,CHAPEL HILL RD,0,,N HARRISON AVE,GREY ST,1/14/2014,11:41 AM,Ran off road - right,Unknown,
103974885,Cary,WICKLOW DR,0.002,N,BARGATE DR,HASTINGS PL,1/14/2014,1:20 PM,Fixed object,Unknown,
103952408,Cary,SR 1639,0.1,S,NC 55,SR 1600,1/15/2014,8:30 AM,"Rear end, slow or stop",Property Damage Only,
103989330,Cary,SE MAYNARD RD,0.1,SE,JIM VALVANO DR,ASHE AVE,1/15/2014,5:55 PM,"Rear end, slow or stop",Property Damage Only,
103989329,Cary,HIGH HOUSE RD,0.047,SE,PRESTON EXECUTIVE DR,CARY PARKWAY,1/15/2014,8:42 AM,"Rear end, slow or stop",Property Damage Only,
103989337,Cary,CENTREGREEN WAY,0.02,E,WESTON PKY,CENTREGREEN WAY,1/15/2014,5:10 PM,Backing up,Property Damage Only,
103989333,Cary,WALNUT ST,0.1,N,HUBBARD LN,MAYNARD RD,1/15/2014,8:30 AM,"Rear end, slow or stop",Property Damage Only,
103989332,Cary,NC 55,0,,HIGH HOUSE RD,WELLESLEY TRADE LN,1/15/2014,3:56 PM,"Sideswipe, same direction",Property Damage Only,
103989331,Cary,500 SAS CAMPUS DR,0.028,S,SAS CAMPUS DR,,1/15/2014,5:27 PM,Parked motor vehicle,Property Damage Only,
103989335,Cary,SR 1370,0.005,W,SR 5039,SR 1152,1/16/2014,10:12 PM,"Rear end, slow or stop",Property Damage Only,
103989340,Cary,US 1,0.038,SW,US 1,SR 3977,1/16/2014,7:19 AM,"Sideswipe, same direction",Property Damage Only,
103989343,Cary,HIGH HOUSE RD,0.047,NE,STONECOVE LN,DAVIS DR,1/16/2014,11:24 AM,"Sideswipe, same direction",Property Damage Only,
103989338,Cary,US 64,0.038,NW,US 1,EDINBURGH DR,1/16/2014,3:49 PM,"Sideswipe, same direction",Property Damage Only,
103989339,Cary,SR 3112,0,,BEBINGTON DR,HUNTSMOOR LN,1/16/2014,4:24 PM,Angle,Property Damage Only,
103989341,Cary,SR 1011,0.1,E,REEDY CREEK RD,N LAKE ST,1/16/2014,6:00 PM,"Left turn, different roadways",Property Damage Only,
103992898,Cary,NELSON RD,0.019,S,NELSON RD,PLEASANT GROVE,1/16/2014,10:55 AM,"Sideswipe, opposite direction",Property Damage Only,
103992890,Cary,KEYSTONE DR,0.2,N,THORPE DR,THORPE DR,1/16/2014,7:58 PM,Parked motor vehicle,Property Damage Only,
103989336,Cary,SR 1152,0.005,SW,SR 3977,WINDSTREAM WAY,1/16/2014,9:40 PM,"Rear end, slow or stop",Property Damage Only,
103989344,Cary,US 1,0.038,E,TRYON RD,US 64,1/17/2014,8:54 PM,"Rear end, slow or stop",Property Damage Only,
103989352,Cary,N HARRISON AV,0.019,S,CHAPEL HILL RD,ADAMS ST,1/17/2014,6:00 PM,"Left turn, different roadways",Property Damage Only,
103989346,Cary,CHAPEL HILL RD,0.21,NW,TRINITY RD,CARRIAGE WOODS CIR,1/17/2014,5:33 PM,Animal,Property Damage Only,
103989347,Cary,RALPH DR,0.002,NE,SR 1415,GREENWOOD DR,1/17/2014,3:27 PM,Backing up,Property Damage Only,
103989348,Cary,SR 1613,0.1,N,SEARSTONE DR,HIGH HOUSE RD,1/17/2014,6:36 PM,"Rear end, slow or stop",Property Damage Only,
103989351,Cary,CHAPEL HILL RD,0.1,S,CHESTERFIELD DR,MAYNARD RD,1/17/2014,12:55 PM,"Rear end, slow or stop",Property Damage Only,
103992895,Cary,SR 1313,0.1,N,SR 1349,MEETING ST,1/17/2014,1:51 PM,"Rear end, slow or stop",Property Damage Only,
103989361,Cary,SR 3090,0.2,E,SOUTH HILL DR,REALTORS WAY,1/17/2014,8:14 AM,"Rear end, slow or stop",Property Damage Only,
103989345,Cary,JENKS CARPENTER RD,0,,WALDO ROOD BLVD,UPCHURCH FARM LN,1/17/2014,9:30 AM,Angle,Property Damage Only,
103989349,Cary,DAVIS DR,0.038,N,WHITEBRIDGE DR,YORKHILL DR,1/17/2014,4:14 PM,"Sideswipe, same direction",Property Damage Only,
103981807,Cary,SR 1152,0.26,NE,SR 1010,SOUTHBRIAR DR,1/18/2014,9:38 AM,"Rear end, slow or stop",C-Injury (Possible),
103981805,Cary,NC 55,0,,SR 3060,SR 1624,1/18/2014,9:15 AM,"Left turn, different roadways",Property Damage Only,
103998873,Cary,SR 1300,0.15,S,SR 1009,CRESCENT COMMONS DR,1/18/2014,4:47 PM,Backing up,Property Damage Only,
103997725,Cary,BUCK JONES RD,0.2,NE,WALNUT ST,NOTTINGHAM DR,1/18/2014,7:18 PM,"Left turn, same roadway",Property Damage Only,
103997728,Cary,I 40,2.5,SE,AVIATION PARKWAY,NC 54,1/19/2014,1:43 PM,"Rear end, slow or stop",Property Damage Only,
103997736,Cary,WALNUT ST,0.75,,DILLARD DR,CROSSROADS MANOR CT,1/19/2014,12:18 PM,Angle,Property Damage Only,
103999949,Cary,JONES FRANKLIN RD 1319,0,,DILLARD DR 1349,PRINCE DR,1/19/2014,12:21 PM,"Rear end, slow or stop",Property Damage Only,
103997727,Cary,SR 1415,0.014,N,SLOAN DR,TATE ST,1/19/2014,3:42 PM,"Sideswipe, same direction",Property Damage Only,
103986937,Cary,OLD APEX RD,0,,SW CARY PKWY,LAURA DUNCAN RD,1/20/2014,8:46 PM,"Left turn, different roadways",B-Injury (Evident),
103998871,Cary,SW CARY PKY,0,N,HIGH HOUSE RD,GROVE CLUB LN,1/20/2014,5:06 PM,Angle,C-Injury (Possible),
103998870,Cary,N HARRISON AVE,0,,I 40,I 40,1/20/2014,4:56 PM,"Sideswipe, same direction",Property Damage Only,
103997730,Cary,SR 1615,0,,SR 1415,CAVENDISH DR,1/20/2014,8:57 PM,"Left turn, same roadway",Property Damage Only,
103997734,Cary,US 64,2,E,MACKENAN DR,GREGSON DR,1/20/2014,6:18 PM,"Rear end, slow or stop",Property Damage Only,
104001094,Cary,US 64,0.015,E,MCKENANA DR,GREGSON DR,1/20/2014,6:14 PM,"Rear end, slow or stop",Property Damage Only,
103998890,Cary,SR 1313,0.015,W,DONALDSON DR,NOTTINGHAM DRIVE,1/20/2014,3:32 PM,"Sideswipe, same direction",Property Damage Only,
103997733,Cary,WESTON PARKWAY,0.019,SE,MIDENHALL WAY,RENAISSANCE PARK PL,1/20/2014,7:52 AM,"Rear end, slow or stop",Property Damage Only,
103997717,Cary,KILDAIRE FARM RD,0,,W LOCHMERE DR,LOCH HIGHLANDS DR,1/21/2014,5:18 PM,"Right turn, different roadways",C-Injury (Possible),
103997722,Cary,US 64,0.008,N,US 64,EDINBURGH DR,1/21/2014,4:40 PM,"Rear end, slow or stop",Property Damage Only,
103997718,Cary,SR 1615,0,,PRESTONWOOD PKWY,LEGAULT DR,1/21/2014,6:11 PM,Angle,Property Damage Only,
104003581,Cary,US 64,0.057,E,MACKENAN DR,GREGSON DR,1/22/2014,9:57 AM,Angle,Property Damage Only,
103986959,Cary,SR 1313,0,N,BUCK JONES RD,DONALDSON DR,1/23/2014,9:44 AM,"Left turn, different roadways",C-Injury (Possible),
103986946,Cary,SR 3977,0.13,SE,THURSTON DR,SR 1009,1/23/2014,3:25 PM,"Rear end, slow or stop",Property Damage Only,
103986942,Cary,TRYON RD,0.047,W,ASHVILLE AVE,CRESENT GREEN DR,1/23/2014,6:04 PM,"Rear end, slow or stop",Property Damage Only,
103986961,Cary,US 1,0,,TRYON RD,EDINBURGH SOUTH DR,1/23/2014,8:47 AM,"Rear end, slow or stop",Property Damage Only,
103986947,Cary,SR 3977,0.038,E,HIGH MEADOW DR,HAMPTON VALLEY RD,1/23/2014,5:46 PM,"Rear end, slow or stop",Property Damage Only,
103986949,Cary,NW MAYNARD RD,0.116,W,N HARRISON AVE,NORTHWOODS DR,1/23/2014,4:12 PM,Angle,Property Damage Only,
103986944,Cary,E CHATHAM ST,0.3,NE,E DURHAM RD,REEDY CREEK RD,1/23/2014,5:03 PM,"Left turn, different roadways",Property Damage Only,
103986941,Cary,HOWLAND AVE,0.019,N,OLD APEX,SYCAMORE ST,1/23/2014,5:56 PM,Other non-collision,Property Damage Only,
103986963,Cary,AERIAL CTR PKWY,0.014,W,HOSPITALITY CT,AIRPORT BLVD,1/23/2014,3:50 AM,Ran off road - left,Unknown,
103986902,Cary,SR 1613,0.009,S,BOULDERSTONE WAY,SR 1615,1/24/2014,7:03 PM,"Rear end, slow or stop",C-Injury (Possible),
103986940,Cary,SR 1011,0,,SR 3977,CENTERPOINTE DR,1/24/2014,9:51 AM,Angle,C-Injury (Possible),
103988135,Cary,US 1,0,S,US 64,US 64,1/24/2014,10:26 AM,"Rear end, slow or stop",Property Damage Only,
103986906,Cary,SR 1300,0.009,S,CARY PKWY,CASTLEWOOD DR,1/24/2014,3:25 PM,"Rear end, slow or stop",Property Damage Only,
103986903,Cary,EVANS RD,0.038,E,WESTON PKWY,JOHN DEERE RUN,1/24/2014,4:52 PM,"Sideswipe, same direction",Property Damage Only,
103986943,Cary,CARPENTER UPCHURCH RD,0.084,E,CARPENTER UPCHURCH RD,LOUIS STEPHENS DR,1/24/2014,10:25 AM,Backing up,Property Damage Only,
103988138,Cary,OLD APEX,0,E,CHATHAM ST,N DIXON AVE,1/24/2014,2:03 AM,Ran off road - straight,Property Damage Only,
103986962,Cary,I 40,0.009,W,N HARRISON AV,OLD REEDY CREEK RD,1/24/2014,8:00 PM,Ran off road - right,Property Damage Only,
103979164,Cary,KILDAIRE FARM RD,0.085,N,COLONADES WAY,TRYON RD,1/25/2014,6:37 PM,"Rear end, slow or stop",C-Injury (Possible),
103989382,Cary,US 1,0.057,SW,US 1,SR 1010,1/25/2014,9:35 PM,Movable object,Property Damage Only,
103989387,Cary,SR 1009,0,,SR 1300,KEISLER DR,1/25/2014,8:20 PM,"Left turn, same roadway",Property Damage Only,
103989845,Cary,CARY PKY,0,,ROBLING LN,OLDE WEATHERSTONE WAY,1/25/2014,5:53 PM,"Rear end, slow or stop",Property Damage Only,
103989392,Cary,GREEN HOPE SCHOOL RD,0,,NC 55,WARNER RIDGE LN,1/25/2014,12:22 PM,"Rear end, slow or stop",Property Damage Only,
104000472,Cary,US 64,0.038,SE,5 EDINBURGH SOUTH DR,US 1,1/26/2014,8:42 PM,"Rear end, slow or stop",Property Damage Only,
